lambda,G_lambda_lambda
0.005,50.35216257085059
0.005495247623811906,45.84623340662969
0.005990495247623812,42.08537059591178
0.006485742871435718,38.89889567187777
0.006980990495247624,36.164563469771934
0.00747623811905953,33.79252031725458
0.007971485742871435,31.715242039578804
0.008466733366683342,29.881003323664586
0.008961980990495248,28.24951241721405
0.009457228614307154,26.788917416694964
0.009952476238119061,25.47370638035485
0.010447723861930967,24.283204679878768
0.010942971485742872,23.20048038545496
0.011438219109554778,22.211534016159877
0.011933466733366684,21.30469004605628
0.01242871435717859,20.470133890418754
0.012923961980990495,19.699555348391897
0.0134192096048024,18.985870999999786
0.013914457228614306,18.323005886344248
0.014409704852426215,17.705720210443744
0.014904952476238121,17.129470587391275
0.015400200100050027,16.590298066453887
0.015895447723861932,16.08473708624892
0.016390695347673838,15.609740935536015
0.016885942971485744,15.162620330959337
0.01738119059529765,14.740992495535007
0.017876438219109555,14.342738701492697
0.01837168584292146,13.965968680251493
0.018866933466733366,13.6089906377214
0.019362181090545272,13.27028587130912
0.01985742871435718,12.948487185262476
0.020352676338169087,12.642360457369946
0.020847923961980992,12.350788832985295
0.021343171585792898,12.072759119626284
0.021838419209604804,11.807350032817455
0.02233366683341671,11.553722005820726
0.022828914457228615,11.311108325762028
0.02332416208104052,11.07880739901346
0.02381940970485243,10.856175981471457
0.024314657328664335,10.642623236161434
0.02480990495247624,10.437605502564084
0.025305152576288147,10.240621680157783
0.025800400200100052,10.051209143650501
0.026295647823911958,9.868940119800344
0.026790895447723864,9.69341846609876
0.02728614307153577,9.524276800257443
0.027781390695347675,9.361173936724498
0.02827663831915958,9.203792592587126
0.028771885942971486,9.051837330403089
0.029267133566783395,8.905032709896023
0.0297623811905953,8.7631216241853
0.030257628814407207,8.625863799409961
0.030752876438219112,8.493034439324079
0.031248124062031018,8.364422998783645
0.031743371685842924,8.23983207204572
0.032238619309654826,8.119076383535418
0.032733866933466735,8.001981870228295
0.03322911455727864,7.888384846088847
0.033724362181090546,7.778131240132968
0.034219609804902455,7.671075900652151
0.03471485742871436,7.567081958994619
0.03521010505252627,7.466020247039225
0.03570535267633817,7.367768763147966
0.03620060030015008,7.272212181955233
0.03669584792396198,7.17924140385325
0.03719109554777389,7.088753140471352
0.03768634317158579,7.000649532840051
0.0381815907953977,6.914837799272016
0.0386768384192096,6.831229910294262
0.03917208604302151,6.7497422882410465
0.039667333666833414,6.67029552934855
0.04016258129064532,6.59281414641195
0.040657828914457225,6.517226330250221
0.041153076538269134,6.443463728393938
0.04164832416208104,6.371461239563669
0.042143571785892946,6.301156822639395
0.042638819409704855,6.232491318942474
0.04313406703351676,6.165408286760593
0.043629314657328666,6.099853847143142
0.04412456228114057,6.035776540080814
0.04461980990495248,5.973127190263251
0.04511505752876438,5.911858781678154
