lambda,s_lambda,dlambda_ds
0.005,0.0,0.1409259386358572
0.005495247623811906,0.0034337772232616594,0.14768900664822984
0.005990495247623812,0.0067168501158550165,0.15414676756885284
0.006485742871435718,0.009867670411575274,0.16033611784769625
0.006980990495247624,0.012901209668145673,0.16628703374981788
0.00747623811905953,0.015829814747105757,0.17202426392172984
0.007971485742871435,0.01866381037793834,0.17756852408507467
0.008466733366683342,0.021411934648700955,0.1829373619666922
0.008961980990495248,0.024081660804177816,0.18814579734128353
0.009457228614307154,0.026679439667146566,0.1932068047827624
0.009952476238119061,0.02921088538608193,0.19813168394364056
0.010447723861930967,0.031680919912926084,0.20293034782658476
0.010942971485742872,0.03409388689688946,0.20761155021511
0.011438219109554778,0.03645364255560111,0.21218306726079808
0.011933466733366684,0.038763628969637164,0.21665184404161308
0.01242871435717859,0.041026933786087245,0.22102411401387653
0.012923961980990495,0.04324633929058069,0.22530549724583346
0.0134192096048024,0.045424363074344054,0.22950108186631935
0.013914457228614306,0.047563291991796236,0.23361549210692548
0.014409704852426215,0.049665210714149366,0.23765294554066443
0.014904952476238121,0.05173202589446598,0.24161730154303016
0.015400200100050027,0.05376548674151144,0.24551210256701064
0.015895447723861932,0.055767202633968845,0.24934060949347248
0.016390695347673838,0.057738658279357445,0.2531058320645143
0.016885942971485744,0.05968122682345806,0.256810555211075
0.01738119059529765,0.061596181239082365,0.2604573619322773
0.017876438219109555,0.06348470426242565,0.264048653263176
0.01837168584292146,0.06534789709717702,0.2675866657715006
0.018866933466733366,0.06718678706816832,0.27107348694725597
0.019362181090545272,0.06900233437547477,0.27451106878744636
0.01985742871435718,0.07079543807490646,0.2779012398281339
0.020352676338169087,0.07256694139050736,0.28124571583545915
0.020847923961980992,0.07431763644804898,0.2845461093339865
0.021343171585792898,0.0760482685048253,0.287803938123336
0.021838419209604804,0.07775953973974732,0.2910206329114386
0.02233366683341671,0.07945211265834176,0.2941975441739079
0.022828914457228615,0.0811266131594207,0.297335948333406
0.02332416208104052,0.08278363330362197,0.30043705333959875
0.02381940970485243,0.08442373381849375,0.3035020037193624
0.024314657328664335,0.08604744637012966,0.30653188515743185
0.02480990495247624,0.08765527562740381,0.3095277286598101
0.025305152576288147,0.08924770114148763,0.3124905143455182
0.025800400200100052,0.09082517906045635,0.3154211749064125
0.026295647823911958,0.09238814369633068,0.3183205987699908
0.026790895447723864,0.0939370089597831,0.3211896329957367
0.02728614307153577,0.09547216967591553,0.3240290859319786
0.027781390695347675,0.09699400279293828,0.3268397296570272
0.02827663831915958,0.09850286849421494,0.32962230222564576
0.028771885942971486,0.09999911122294983,0.33237750973949504
0.029267133566783395,0.10148306062776093,0.3351060282581378
0.0297623811905953,0.10295503243647704,0.3378085055653825
0.030257628814407207,0.10441532926470705,0.340485562804093
0.030752876438219112,0.10586424136503458,0.343137795991312
0.031248124062031018,0.10730204732208071,0.3457657774241781
0.031743371685842924,0.10872901469813882,0.3483700569861646
0.032238619309654826,0.1101454006336104,0.3509511633621176
0.032733866933466735,0.11155145240604919,0.35350960516976904
0.03322911455727864,0.11294740795124796,0.356045872014667
0.033724362181090546,0.11433349634947082,0.35856043547470967
0.034219609804902455,0.1157099382796378,0.36105375002001655
0.03471485742871436,0.11707694644400604,0.36352625387320975
0.03521010505252627,0.11843472596565614,0.36597836981476356
0.03570535267633817,0.11978347476088169,0.3684105059376761
0.03620060030015008,0.12112338388839186,0.3708230563552949
0.03669584792396198,0.12245463787706677,0.37321640186578464
0.03719109554777389,0.12377741503385419,0.375590910576494
0.03768634317158579,0.1250918877332576,0.3779469384910946
0.0381815907953977,0.1263982226897438,0.3802848300621747
0.0386768384192096,0.12769658121428457,0.38260491871179747
0.03917208604302151,0.12898711945614824,0.3849075273221746
0.039667333666833414,0.1302699886309634,0.3871929686986235
0.04016258129064532,0.13154533523599607,0.38946154600662386
0.040657828914457225,0.13281330125350488,0.3917135531847594
0.041153076538269134,0.13407402434297186,0.3939492753351657
0.04164832416208104,0.1353276380229429,0.39616898909293025
0.042143571785892946,0.13657427184315643,0.3983729629758332
0.042638819409704855,0.1378140515475864,0.4005614577157032
0.04313406703351676,0.13904709922897904,0.4027347265725469
0.043629314657328666,0.14027353347541913,0.40489301563252517
0.04412456228114057,0.14149346950942263,0.4070365640908036
0.04461980990495248,0.1427070193200161,0.4091656045201877
0.04511505752876438,0.14391429178822998,0.41128036312642535
0.04561030515257629,0.145115392806403,0.413381059990937
0.04610555277638819,0.14631042539166617,0.4154679093017913
0.0466008004002001,0.14749948979394994,0.4175411195735356
0.047096048024012,0.14868268359883385,0.4196008938566049
0.04759129564782391,0.14986010182553666,0.4216474299368548
0.04808654327163582,0.1510318370203242,0.4236809205258061
0.04858179089544772,0.15219797934559445,0.42570155344212096
0.04907703851925963,0.15335861666488182,0.42770951178481026
0.049572286143071534,0.1545138346240061,0.42970497409859454
0.05006753376688344,0.15566371672857857,0.43168811453189776
0.050562781390695345,0.1568083444180621,0.4336591029878253
0.051058029014507254,0.15794779713657167,0.4356181052685411
0.051553276638319157,0.1590821524005877,0.4375652832133726
0.052048524262131066,0.16021148586374623,0.43950079483096655
0.05254377188594297,0.16133587137885774,0.44142479442583205
0.05303901950975488,0.16245538105729893,0.4433374327195478
0.053534267133566786,0.16357008532591122,0.4452388569668883
0.05402951475737869,0.16468005298153354,0.4471292110671505
0.0545247623811906,0.16578535124328803,0.4490086356709311
0.0550200100050025,0.16688604580273064,0.4508772682825301
0.05551525762881441,0.16798220087197274,0.45273524335826204
0.05601050525262631,0.16907387922987244,0.45458269240082383
0.05650575287643822,0.17016114226639,0.4564197440499245
0.05700100050025012,0.1712440500251953,0.4582465241693894
0.05749624812406203,0.17232266124461101,0.4600631559308414
